"BehaviorSpace results (NetLogo 6.1.1)"
"voting_systeem.nlogo"
"experiment distance"
"08/07/2022 19:30:12:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","voter_count","lijsttrekker_count","[step]","afs_plr","afs_apr","afs_ivr"
"125","200","5","0","13.900120816157504","13.900120816157505","13.900120816157504"
"129","200","5","0","13.512710928851563","13.512710928851565","13.512710928851563"
"126","200","5","0","14.576176618414602","14.576176618414609","15.245722349200323"
"127","200","5","0","13.965082740449374","13.965082740449372","13.965082740449372"
"128","200","5","0","13.972930153715566","13.972930153715565","13.972930153715561"
"130","200","5","0","15.366173516006041","15.366173516006038","15.366173516006041"
"131","200","5","0","15.19557472539291","15.195574725392914","15.195574725392913"
"110","200","5","0","15.34924244022382","15.349242440223815","15.34924244022381"
"136","200","5","0","14.128741960544714","14.128741960544716","14.128741960544719"
"132","200","5","0","13.089417047108618","13.089417047108615","13.089417047108615"
"135","200","5","0","13.358334417231347","13.358334417231342","13.358334417231342"
"134","200","5","0","12.653468583273444","12.653468583273447","12.653468583273447"
"137","200","5","0","15.096567782362333","15.096567782362328","15.09656778236233"
"139","200","5","0","15.772655336503068","15.772655336503062","15.772655336503071"
"140","200","5","0","14.176157014440454","14.176157014440461","14.17615701444046"
"141","200","5","0","13.587984123414039","13.587984123414039","13.970993711066757"
"143","200","5","0","12.561354027106995","12.561354027106995","12.561354027106997"
"144","200","5","0","14.336512084134936","13.289029223187686","13.27324015577456"
"133","200","5","0","17.43444640915347","17.43444640915347","17.434446409153466"
"138","200","5","0","18.602723784133165","18.602723784133172","17.724452456538472"
"142","200","5","0","17.897529851489022","12.471156213837155","12.471156213837155"
"145","200","5","0","17.03081020957819","17.030810209578195","17.030810209578192"
"146","200","5","0","15.132157544671534","15.487475144156441","15.132157544671532"
"148","200","5","0","13.584612341127304","13.5846123411273","13.584612341127302"
"147","200","5","0","13.036783089107635","13.036783089107635","13.03678308910763"
"149","200","5","0","15.162436080964799","15.162436080964804","15.162436080964802"
"150","200","5","0","15.553471392765827","15.553471392765825","12.939460478026325"
"151","200","5","0","14.342450982637166","14.342450982637164","14.010179377920402"
"152","200","5","0","12.842950774695774","12.842950774695774","12.842950774695773"
"153","200","5","0","17.362941659371522","17.362941659371522","17.42866833393843"
"155","200","5","0","12.782771822651263","12.782771822651265","12.78277182265126"
"157","200","5","0","14.295920255289614","14.295920255289623","14.295920255289618"
"160","200","5","0","15.841890070991667","15.84189007099167","15.841890070991665"
"158","200","5","0","15.773354837619818","14.564641907314796","14.564641907314803"
"159","200","5","0","15.370323709131103","15.370323709131105","14.333015758067182"
"154","200","5","0","12.698634532490269","12.698634532490274","12.698634532490269"
"156","200","5","0","14.02399191308189","14.023991913081886","14.02399191308189"
"161","200","5","0","13.287896188046293","13.287896188046295","13.287896188046297"
"163","200","5","0","17.76247550104208","18.12690729458157","17.15036171788555"
